Table_Id,City,Summary_Level,Place_Fips,Geo_Id,State,State_Fips,Total_Population
100421,Center Point,160,13264,16000US0113264,AL,1,16797
100422,Centre,160,13648,16000US0113648,AL,1,3570
100423,Centreville,160,13672,16000US0113672,AL,1,2719
100424,Chatom,160,14008,16000US0114008,AL,1,1006
100425,Chelsea,160,14104,16000US0114104,AL,1,11386
100426,Cherokee,160,14152,16000US0114152,AL,1,850
100427,Chickasaw,160,14392,16000US0114392,AL,1,6005
100428,Childersburg,160,14464,16000US0114464,AL,1,5105
100429,Choccolocco,160,14728,16000US0114728,AL,1,2279
100430,Chunchula,160,14968,16000US0114968,AL,1,136
100431,Citronelle,160,15064,16000US0115064,AL,1,3886
100432,Clanton,160,15136,16000US0115136,AL,1,8715
100433,Clay,160,15256,16000US0115256,AL,1,9682
100434,Clayhatchee,160,15304,16000US0115304,AL,1,441
100435,Clayton,160,15376,16000US0115376,AL,1,2947
100436,Cleveland,160,15472,16000US0115472,AL,1,1206
100437,Clio,160,15640,16000US0115640,AL,1,856
100438,Coaling,160,16000,16000US0116000,AL,1,1808
100439,Coats Bend,160,16080,16000US0116080,AL,1,1842
100440,Coffee Springs,160,16240,16000US0116240,AL,1,264
100441,Coffeeville,160,16264,16000US0116264,AL,1,383
100442,Coker,160,16312,16000US0116312,AL,1,819
100443,Collinsville,160,16600,16000US0116600,AL,1,2104
100444,Colony,160,16684,16000US0116684,AL,1,345
100445,Columbia,160,16744,16000US0116744,AL,1,680
100446,Columbiana,160,16768,16000US0116768,AL,1,4176
100447,Concord,160,16936,16000US0116936,AL,1,2044
100448,Coosada,160,17176,16000US0117176,AL,1,1374
100449,Cordova,160,17368,16000US0117368,AL,1,2074
100450,Cottondale,160,17704,16000US0117704,AL,1,3702
100451,Cottonwood,160,17824,16000US0117824,AL,1,1438
100452,County Line,160,17968,16000US0117968,AL,1,187
100453,Courtland,160,18040,16000US0118040,AL,1,592
100454,Cowarts,160,18088,16000US0118088,AL,1,2071
100455,Creola,160,18304,16000US0118304,AL,1,1842
100456,Crossville,160,18856,16000US0118856,AL,1,2312
100457,Cuba,160,18952,16000US0118952,AL,1,509
100458,Cullman,160,18976,16000US0118976,AL,1,15014
100459,Cullomburg,160,19024,16000US0119024,AL,1,117
100460,Cusseta,160,19216,16000US0119216,AL,1,151
100461,Dadeville,160,19336,16000US0119336,AL,1,3181
100462,Daleville,160,19360,16000US0119360,AL,1,5188
100463,Daphne,160,19648,16000US0119648,AL,1,23559
100464,Dauphin Island,160,19744,16000US0119744,AL,1,1319
100465,Daviston,160,19816,16000US0119816,AL,1,271
100466,Dayton,160,19912,16000US0119912,AL,1,25
100467,Deatsville,160,20008,16000US0120008,AL,1,1218
100468,Decatur,160,20104,16000US0120104,AL,1,55598
100469,Deer Park,160,20152,16000US0120152,AL,1,203
100470,Delta,160,20272,16000US0120272,AL,1,259
100471,Demopolis,160,20296,16000US0120296,AL,1,7249
100472,Detroit,160,20392,16000US0120392,AL,1,215
100473,Dodge City,160,20955,16000US0120955,AL,1,714
100474,Dora,160,21136,16000US0121136,AL,1,2295
100475,Dothan,160,21184,16000US0121184,AL,1,67708
100476,Double Springs,160,21280,16000US0121280,AL,1,1180
100477,Douglas,160,21328,16000US0121328,AL,1,1024
100478,Dozier,160,21448,16000US0121448,AL,1,307
100479,Dunnavant,160,21890,16000US0121890,AL,1,984
100480,Dutton,160,21952,16000US0121952,AL,1,331
100481,East Brewton,160,22216,16000US0122216,AL,1,2508
100482,East Point,160,22504,16000US0122504,AL,1,151
100483,Eclectic,160,22816,16000US0122816,AL,1,912
100484,Edgewater,160,23032,16000US0123032,AL,1,905
